port,state,state_code
Adelaide,South Australia,SA
Brisbane,Queensland,QLD
Broome,Western Australia,WA
Cairns,Queensland,QLD
Canberra,Australian Capital Territory,ACT
Christmas Island,Christmas Island,CI
Darwin,Northern Territory,NT
Gold Coast,Queensland,QLD
Gold Coast/Coolangatta,Queensland,QLD
Hobart,Tasmania,TAS
Melbourne,Victoria,VIC
Newcastle,New South Wales,NSW
Norfolk Island,Norfolk Island,NF
Perth,Western Australia,WA
Port Hedland,Western Australia,WA
Sunshine Coast,Queensland,QLD
Sydney,New South Wales,NSW
Toowoomba Wellcamp,Queensland,QLD
Townsville,Queensland,QLD
